,combined_constraints,long_only,long_only_max_weight,turnover_limited,unconstrained
Mean ex post IC,-0.02933849232479191,-0.02933849232479191,-0.02933849232479191,-0.02933849232479191,-0.02933849232479191
Std ex post IC,0.2824554736084754,0.2824554736084754,0.2824554736084754,0.2824554736084754,0.2824554736084754
Mean std(alpha_i / IC),0.07590197895946338,0.07590197895946338,0.07590197895946338,0.07590197895946338,0.07590197895946338
Std std(alpha_i / IC),0.2013565719886898,0.2013565719886898,0.2013565719886898,0.2013565719886898,0.2013565719886898
Mean std(r_i / sigma_i),0.867441774197409,0.867441774197409,0.867441774197409,0.867441774197409,0.867441774197409
Std std(r_i / sigma_i),0.19382332355940785,0.19382332355940785,0.19382332355940785,0.19382332355940785,0.19382332355940785
Mean TC,-0.23244661307114042,-0.22902461909807129,0.1228095466248574,0.07381602434318399,
Std TC,0.513813622274317,0.5184441641053519,0.7206965418065018,0.5302621525671304,
Mean risk-weighted TC,-0.22379860211283012,-0.22745667820141133,0.12130676485970764,0.0771956291448473,
Std risk-weighted TC,0.5041156760188553,0.5152963727214072,0.7070053849205287,0.5157703974507246,
Mean active return,2.0224351959907252e-07,7.643858007082511e-08,3.306872383436586e-08,-1.0363161845480079e-07,-1.5121695728712021e-19
Mean active risk,2.488734664096629e-07,1.0328060677756837e-07,2.1424762544400069e-07,4.474425533131478e-07,4.80394370636341e-19
Mean realized tracking error,2.488734664096629e-07,1.0328060677756837e-07,2.1424762544400069e-07,4.474425533131478e-07,4.80394370636341e-19
Std realized tracking error,4.097666012266953e-07,4.411381840527947e-07,4.2589537145887836e-07,4.5530130652132335e-07,3.8878178775476993e-19
Mean ex post IR,0.1189796764690365,0.4755803271291346,-0.13893421386851293,-0.25102018964262074,
Std ex post IR,0.9694419448628538,0.4067583634032293,1.1252070963573246,0.8341310233450626,
Mean theoretical IR,0.04301178194938782,0.4282586028301747,0.12886805822511008,-0.07061677522436055,
Std theoretical IR,0.4095857594805194,0.6379860802133015,0.7844087441591657,0.3869830516922499,
